,question,student_answer,correct
79,What are the main advantages associated with object-oriented programming?,"Existing classes can be feused, Program maintenance and verification are easier",0
80,What are the main advantages associated with object-oriented programming?,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",0
81,What are the main advantages associated with object-oriented programming?,Existing classes can be reused Program maintenance and verifications are easy,0
82,What are the main advantages associated with object-oriented programming?,1- Existing classes can be reused 2- Program maintenance and verification are easier,0
83,What are the main advantages associated with object-oriented programming?,Information can be hidden. It is easier to debug. Programming is easier and more manageable.,0
84,What are the main advantages associated with object-oriented programming?,"Existing classes can be reused, program maintenance and verification are   easier.",0
85,What are the main advantages associated with object-oriented programming?,existing classes can be reused program maintenance and verification are easier,0
86,What are the main advantages associated with object-oriented programming?,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",0
87,Where do C++ programs begin to execute?,At function ‘int main ()’,0
88,Where do C++ programs begin to execute?,the Function main().,0
89,Where do C++ programs begin to execute?,c++ programs begin to execute in the main method.,0
90,Where do C++ programs begin to execute?,A C++ program will begin to execute at the main() function.,0
91,Where do C++ programs begin to execute?,They begin in the main() function.,0
92,Where do C++ programs begin to execute?,Int main(),0
93,Where do C++ programs begin to execute?,main method,0
94,Where do C++ programs begin to execute?,in the testing phase,0
95,Where do C++ programs begin to execute?,#NAME?,0
96,Where do C++ programs begin to execute?,main,0
97,Where do C++ programs begin to execute?,They begin to execute at the funcion main().,0
98,Where do C++ programs begin to execute?,The main method.,0
99,Where do C++ programs begin to execute?,At the root,0
100,Where do C++ programs begin to execute?,In the main() function.,0
101,Where do C++ programs begin to execute?,C++ programs begin execution at main.,0
102,Where do C++ programs begin to execute?,In the Main function..?,0
103,Where do C++ programs begin to execute?,"At the ""main()"" function",0
104,Where do C++ programs begin to execute?,The main function.,0
105,Where do C++ programs begin to execute?,The function main,0
106,Where do C++ programs begin to execute?,"After loading the required include statements and libraries, the main method begins the execution.",0
107,Where do C++ programs begin to execute?,main function,0
108,Where do C++ programs begin to execute?,main,0
109,Where do C++ programs begin to execute?,C++ programs begin execution at the main function.,0
110,Where do C++ programs begin to execute?,At main,0
111,Where do C++ programs begin to execute?,they beging to excute at main,0
112,Where do C++ programs begin to execute?,at the main function  int main() {},0
113,Where do C++ programs begin to execute?,C++ programs begin execution at the main function.,0
114,Where do C++ programs begin to execute?,"in the ""main"" function",0
115,Where do C++ programs begin to execute?,Within the main function,0
116,What is a variable?,Variable can be a integer or a string in a program.,0
117,What is a variable?,"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished. ",0
118,What is a variable?,A variable is a location in memory where a value can be stored.,0
119,What is a variable?," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",0
120,What is a variable?,"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",0
121,What is a variable?,A named object that can hold a numerical or letter value,0
122,What is a variable?,"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name.",0
123,What is a variable?,A variable is a location in the computers memory where a value can be stored for use by a program,0
124,What is a variable?,#NAME?,0
125,What is a variable?,a block of memory that holds a specific type of data,0
126,What is a variable?,It is a location in the computer's memory where it can be stored for use by a program.,0
127,What is a variable?,A location in memory where value can be stored.,0
128,What is a variable?,a value/word that can assume any of a set of values,0
129,What is a variable?,A pointer to a location in memory.,0
130,What is a variable?,"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values.",0
131,What is a variable?,A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.,0
132,What is a variable?,a symbol that stands in for a value that may or may not change depending on the program.,0
133,What is a variable?,"a placeholder to hold information used in the program... for example: int can hold: 1, 2, 3, 4, 68, 72, 256, etc. float can hold: 1.54, 55.55, 1.24, 5.657, 8.8123, et. char can hold: A, B, C, D, E, F, !, 4, 5, 6, P, etc. ",0
134,What is a variable?,a stored value used by the program,0
135,What is a variable?,"A way to store different values into the program, such as numbers, words, letters, etc.",0
136,What is a variable?,An object with a location in memory where value can be stored,0
137,What is a variable?,location in memory where a value can be stored,0
138,What is a variable?,a variable is an object where data is stored.,0
139,What is a variable?,Location in memory where a value can be stored.,0
140,What is a variable?,it is a location in memory where value can be stored,0
141,What is a variable?,A variable is the location in a computer's memory where a value can be stored for use by a program.,0
142,What is a variable?,A variable is a location in a computers memory where a value can be stored   for use by a program.,0
143,What is a variable?,a location in memory where data can be stored and retrieved,0
144,What is a variable?,"Is a method or identifier I would say,  we use to bind a data object to memory location; which is then stored in a location that can be accessed when and manipulated later when the variable name is called. ",0
145,Where are variables declared in a C++ program?,"They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",0
146,Where are variables declared in a C++ program?,In the Function main() before using the variable.,0
147,Where are variables declared in a C++ program?,"Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",0
148,Where are variables declared in a C++ program?,Variables are declared where ever it is defined either inside a block locally or outside a block globally.,0
149,Where are variables declared in a C++ program?,Variables are declared before they are actually used. They can be declared before main() to use globally,0
150,Where are variables declared in a C++ program?,"For good programing practice they should be declared before main(), but should at least be declared before they are used.",0
151,Where are variables declared in a C++ program?,"They can be declared globally just before the main method (but also outside of it)... or variables can be subject to only the method they're scoped within, but would still be declared at the beginning of that method (but inside of it).",0
152,Where are variables declared in a C++ program?,local variables are declared inside the method while global variables are declared in the body.,0
153,Where are variables declared in a C++ program?,#NAME?,0
154,Where are variables declared in a C++ program?,"Globally for an entire program, and locally for individual functions (including FOR statements)",0
155,Where are variables declared in a C++ program?,They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type.,0
156,Where are variables declared in a C++ program?,Inside the method.,0
157,Where are variables declared in a C++ program?,at the top,0
158,Where are variables declared in a C++ program?,Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.,0
159,Where are variables declared in a C++ program?,Variables are usually declared at the beginning of a module of C++ code.,0
160,Where are variables declared in a C++ program?,"In the main function, usually at the top of code.  They can be declared almost anywhere, but must be declared before the code can use or act upon them.",0
161,Where are variables declared in a C++ program?,in the very beginning of the program. Before the main() starts.,0
162,Where are variables declared in a C++ program?,"In the declaration of Functions, for statements, and while statements. in the body of If, For, while, do while, statements, in namespaces, headers, etc  ( almost anywhere. ) anywhere in the program, as long as it is on it's own line.",0
163,Where are variables declared in a C++ program?,After declaration of the variable's data type.,0
164,Where are variables declared in a C++ program?,"anywhere in the code, can be at the top, or in the middle of the code, or anywhere.",0
165,Where are variables declared in a C++ program?,Before they are used.,0
166,Where are variables declared in a C++ program?,Anywhere in the same scope before they are used,0
167,Where are variables declared in a C++ program?,variables can be declared in classes and methods.,0
168,Where are variables declared in a C++ program?,inside the function scope and outside of the function scope in case of global variables,0
169,Where are variables declared in a C++ program?,global variables are declared in the main function local variables are declared in any other function,0
170,Where are variables declared in a C++ program?,"Variables are usually declared at the very beginning of a C++ program, but can be declared any in the program as long as they appear before they are called upon.",0
171,Where are variables declared in a C++ program?,"Variables are declared in the main function, before any operation is   attempted with the variables.",0
172,Where are variables declared in a C++ program?,"anywhere, but where you declare them depends on where you want them to be accessible (their scope)",0
173,Where are variables declared in a C++ program?,It depends if it’s a global then they have to be declared out side the source code to be used in every scope however a local variable is one declared in a local function etc. which obviously doesn’t need to be declared outside the variable seeing how it is used for the function or block its being called for.,0
174,What is the main difference between a while and a do...while statement?,"""The “do” statement first evaluates the condition and then executes the lines of code in the statement 0 or more times. 	The “do while” statement executes the lines of code and then it evaluates the condition. """,0
175,What is the main difference between a while and a do...while statement?,do...while statements evaluate whether or not to loop after running the block contained within it at least once. So the main differance is that while statements have a possibility of never being used. Do ... while statements on the other hand are always run at least once before evaluating whether to run again.,0
176,What is the main difference between a while and a do...while statement?,"The main difference between a while and a do...while loop is that the do...while loop always cycles through the loop at least once, but the while loop does not always do so.",0
177,What is the main difference between a while and a do...while statement?,While loop used to execute a block of code as long as some condition is true.  A do...while loop used to execute a block of code as long as some condition is satisfied.  The difference between while and do...while is while loop tests its condition before the execution of its contents and the do...while loop tests its condition after the execution of its contents at least once.,0
178,What is the main difference between a while and a do...while statement?,"The termination condition of a do...while statement is usually at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",0
179,What is the main difference between a while and a do...while statement?,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,0
180,What is the main difference between a while and a do...while statement?,"A while statement will test the condition of the while loop FIRST - there is a chance the loop will never run. A do...while loop will ALWAYS run once, and then the while test will determine if it will run again.",0
181,What is the main difference between a while and a do...while statement?,a do while loop always executes once. A while loop's conditional statement has to be true for it to run.,0
182,What is the main difference between a while and a do...while statement?,#NAME?,0
183,What is the main difference between a while and a do...while statement?,"while statements will evaluate the statement BEFORE executing a cycle of the loop, including the first cycle, meaning that a while loop will not always execute. A do...while will run evaluate the statement AFTER running through a cycle of the loop, ensuring that the loop always executes at least one time.",0
184,What is the main difference between a while and a do...while statement?,The main difference between a do and a do...while statement is in a do...while statement is the statements in a do block are always executed atleast once.   The while statement will only execute if its condition is true.,0
185,What is the main difference between a while and a do...while statement?,The loop of a do...while statement always executes once.,0
186,What is the main difference between a while and a do...while statement?,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",0
187,What is the main difference between a while and a do...while statement?,"Do ...while runs the embedded code at least once, the do command does not necessarily",0
188,What is the main difference between a while and a do...while statement?,"While tests for true first before running, do...while runs once first before checking.",0
189,What is the main difference between a while and a do...while statement?,A do...while statement's body always executes at least once.  Where as a while statement will not execute at all unless the condition for the while is true.,0
190,What is the main difference between a while and a do...while statement?,The statements within the block of the do while loop will always be executed at least once regardless of the conditions. Whereas the while loops may never be executed if the conditions are not met.,0
191,What is the main difference between a while and a do...while statement?,"a do... while loop will always run through once, while an while loop performs a test before running through the loop.",0
192,What is the main difference between a while and a do...while statement?,A while statement tests the condition before it can start. A do...while statement loops through once before the condition is tested.,0
193,What is the main difference between a while and a do...while statement?,"A while loop terminates at the beginning of the loop, a do/while terminates at the end of the loop.",0
194,What is the main difference between a while and a do...while statement?,the loop body always executes at least once,0
195,What is the main difference between a while and a do...while statement?,"While loop evaluates its expression at the top of its loop and decides if it needs to execute, and the do-while always executes at least once and then evaluates its expression at the bottom of its loop.",0
196,What is the main difference between a while and a do...while statement?,"A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",0
197,What is the main difference between a while and a do...while statement?,"A do-while passes atleast 1 time before checking the condition, however, a while would fail to enter the loop if the condition fails in its first place.",0
198,What is the main difference between a while and a do...while statement?,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement before it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",0
199,What is the main difference between a while and a do...while statement?,NO ANSWER,0
200,What is the main difference between a while and a do...while statement?,"A do...while loop will always execute atleast once, a while loop may never   execute depending on teh conditions.",0
201,What is the main difference between a while and a do...while statement?,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",0
202,What is the main difference between a while and a do...while statement?,"))     What is the main difference between a while and a do...while statement? The do while construct consists of a block of code and a condition. First, the code within the block is executed, and then the condition is evaluated, this is done until it is proven false. The difference between the While loop is it tests the condition before the code within the block is executed. ",0
203,What is typically included in a class definition?,"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition.",0
204,What is typically included in a class definition?,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.,0
205,What is typically included in a class definition?,Information telling the compiler what data members and member functions belong to the class.,0
206,What is typically included in a class definition?,"Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). ",0
207,What is typically included in a class definition?,An object and data.,0
208,What is typically included in a class definition?,"It's specific class name, includes only information defined by that class... implementation details... etc.",0
209,What is typically included in a class definition?,data members and member functions.,0
210,What is typically included in a class definition?,A class definition usually contains the function and its data members,0
211,What is typically included in a class definition?,Data members and member functions,0
212,What is typically included in a class definition?,member functions,0
213,What is typically included in a class definition?,Member functions and data members belonging to the class.,0
214,What is typically included in a class definition?,a public and private area that includes the functions and variables that are used in the class,0
215,What is typically included in a class definition?,"the keyword class followed by they class name, on the inside you declare public and private declarations of your class",0
216,What is typically included in a class definition?,A class definition typically includes function definitions.,0
217,What is typically included in a class definition?,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition.",0
218,What is typically included in a class definition?,the data and methods,0
219,What is typically included in a class definition?,"A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done.",0
220,What is typically included in a class definition?,Member functions and data members.,0
221,What is typically included in a class definition?,"public section and private section, and there must be a semicolon to set the end",0
222,What is typically included in a class definition?,member funtions and data members,0
223,What is typically included in a class definition?,Data members and Member functions,0
224,What is typically included in a class definition?,data members and member functions,0
225,What is typically included in a class definition?,"the class name and its public data types such as constructors, methods, functions.",0
226,What is typically included in a class definition?,"a constructor and several data members, and at least one public data member or method",0
227,What is typically included in a class definition?,"class name, two curly prenthesis, public and private",0
228,What is typically included in a class definition?,data members and member functions,0
229,What is typically included in a class definition?,Data and functions,0
230,What is typically included in a class definition?,functions and data members that belong to the class,0
231,What is typically included in a class definition?,"class variables, function definitions for the class",0
232,What is typically included in a class definition?,"A class is an expanded concept of a data structure, it holds both the data and the functions being executed ",0
233,What is the difference between a data member and a local variable inside a member function?,Data members are the data components of a particular class.  A member function are the functioning components of the class.,0
234,What is the difference between a data member and a local variable inside a member function?,A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.,0
235,What is the difference between a data member and a local variable inside a member function?,"Data members are declared inside the class, but outside of any member functions. Unlike with local variables, each object of the class keeps its own copy of the data members stored in memory.",0
236,What is the difference between a data member and a local variable inside a member function?,Data member are variables that represent an attribute in a class definition.  Local variables declared in a function body cannot be used outside of that function body.  When a function terminates the values of its local variables are lost.,0
237,What is the difference between a data member and a local variable inside a member function?,A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.,0
238,What is the difference between a data member and a local variable inside a member function?,"A data member is part of a C++ class or structure that stores data of a certain type... A local variable inside a member function is only available inside that function, and can be used to derive a desired outcome.",0
239,What is the difference between a data member and a local variable inside a member function?,A local variable can only be accessed within the scope of its declaration.,0
240,What is the difference between a data member and a local variable inside a member function?,Data members are the atributes of the function and can be used outside the function. Local variable can not be used outside the function and the value is lost after the function terminates.,0
241,What is the difference between a data member and a local variable inside a member function?,"data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends.",0
242,What is the difference between a data member and a local variable inside a member function?,data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body,0
243,What is the difference between a data member and a local variable inside a member function?,"A data member is globally accessible, while a local variable is only accessible inside the member function.",0
244,What is the difference between a data member and a local variable inside a member function?,A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.,0
245,What is the difference between a data member and a local variable inside a member function?,Local variables are used only within the scope of its declaration,0
246,What is the difference between a data member and a local variable inside a member function?,"A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",0
247,What is the difference between a data member and a local variable inside a member function?,A data member exists permanently in that program's memory as long as it's run.  A local variable inside a member function is temporal and only used to operate in the function and exists as long as the function is run.,0
248,What is the difference between a data member and a local variable inside a member function?,"local variables can only be used within the function, where as data members can be set to public access and can be used throughout",0
249,What is the difference between a data member and a local variable inside a member function?,"The local variable is lost once it exits the block of code, while the data member is not.",0
250,What is the difference between a data member and a local variable inside a member function?,Every member function can access and modify a data member. A local variable can only be used from the line of declaration to the next closing } before it is lost from memory.,0
251,What is the difference between a data member and a local variable inside a member function?,"data member is accessible to all functions in the class, where local variable is only available to the member function and value is lost when function closes",0
